"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 12:08:39 GMT 2023","Fri Nov 03 12:08:46 GMT 2023","6874","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testMainPageFeedbackForm","Testing main page feedback form",""
"passed","Fri Nov 03 12:08:25 GMT 2023","Fri Nov 03 12:08:26 GMT 2023","662","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testPageTitle","testPageTitle()",""
"passed","Fri Nov 03 12:08:06 GMT 2023","Fri Nov 03 12:08:18 GMT 2023","11425","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testMainPageFeedbackForm","testMainPageFeedbackForm()",""
"passed","Fri Nov 03 12:08:54 GMT 2023","Fri Nov 03 12:09:01 GMT 2023","7115","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testMainPageLanguageSwitch","Testing main page country switch",""
"passed","Fri Nov 03 12:08:22 GMT 2023","Fri Nov 03 12:08:25 GMT 2023","3314","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testMainPageLanguageSwitch","testMainPageLanguageSwitch()",""
"passed","Fri Nov 03 12:08:26 GMT 2023","Fri Nov 03 12:08:39 GMT 2023","13195","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testSupportPage","testSupportPage()",""
"passed","Fri Nov 03 12:08:47 GMT 2023","Fri Nov 03 12:08:54 GMT 2023","7501","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testMainPageSearch","Testing main page search",""
"passed","Fri Nov 03 12:09:07 GMT 2023","Fri Nov 03 12:09:22 GMT 2023","14854","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testSupportPage","Testing support page",""
"passed","Fri Nov 03 12:09:01 GMT 2023","Fri Nov 03 12:09:07 GMT 2023","5348","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testPageTitle","Testing page title",""
"passed","Fri Nov 03 12:08:18 GMT 2023","Fri Nov 03 12:08:22 GMT 2023","3729","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testMainPageSearch","testMainPageSearch()",""
